id,orderId,brandName,campaignName,market,team,function,taskName,description,owner,priority,status,slaDeadline,dependency,proofLink,comments,createdAt,updatedAt,slaStatus
TRYGC-BO-2026-0001-T11,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Account Management,Account Management,Manage client approval cycle,"Send proposed influencer list, track approval, and confirm final approved creators.",Campaign Manager,High,Not Started,2026-05-11T19:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0001-T12,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coverage,Coverage,Prepare reporting structure,"Prepare final report fields: links, screenshots, views, interactions, missing items, and remarks.",Coverage Lead,High,Done,2026-05-12T13:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Completed
TRYGC-BO-2026-0001-T13,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coordination,Coordination,Apply KSA routing,"Assign KSA team, SAR currency, city routing, and local creator communication.",Coordination Lead,High,Not Started,2026-05-11T23:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T01,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Account Management,Account Management,Review client request,"Validate brief completeness, scope, timeline, commercial model, and internal launch readiness.",Campaign Manager,Normal,Not Started,2026-05-11T23:01:16.261Z,-,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T02,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Community,Community,Build influencer list,"Filter creators by market, city, category, tier, language, followers, and blacklists.",Community Lead,Normal,In Progress,2026-05-12T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T03,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Community,Community,Collect confirmations,"Send invitations, manage responses, confirm creator availability, and prepare approval list if required.",Community Lead,Normal,Not Started,2026-05-12T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T04,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coordination,Coordination,Prepare coordination plan,"Confirm branches, visit windows, creator instructions, client availability, and schedule.",Coordination Lead,Normal,Not Started,2026-05-12T09:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T05,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coverage,Coverage,Prepare coverage tracker,"Create deliverables tracker for stories, reels, posts, TikTok, Snapchat, UGC, proof links, and deadlines.",Coverage Lead,Normal,Blocked,2026-05-13T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Escalated
TRYGC-BO-2026-0002-T06,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,QA,QA,Validate content requirements,"Review campaign guidelines, tags, brand tone, approval logic, and QA checklist.",QA Lead,Normal,Not Started,2026-05-12T03:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T07,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Finance,Finance,Validate commercials,"Confirm budget, currency, compensation model, payment status, and invoice/payment risks.",Finance Lead,Normal,Not Started,2026-05-12T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T08,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Management,Management,Monitor campaign risk,"Review SLA exposure, urgency, missing information, and escalation requirements.",Head of Operations,Normal,Not Started,2026-05-11T21:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0002-T09,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coordination,Coordination,Confirm branch visit schedule,"Lock branch schedule, slots, creator arrival process, and no-show escalation rule.",Coordination Lead,Normal,In Progress,2026-05-12T09:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T10,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coverage,Coverage,Track visit-to-post completion,Compare confirmed visits against submitted coverage and flag missing coverage.,Coverage Lead,Normal,Done,2026-05-13T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Completed
TRYGC-BO-2026-0002-T11,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coverage,Coverage,Prepare reporting structure,"Prepare final report fields: links, screenshots, views, interactions, missing items, and remarks.",Coverage Lead,Normal,Not Started,2026-05-13T15:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0002-T12,TRYGC-BO-2026-0002,Tashas,Dubai Lifestyle Coverage,UAE,Coordination,Coordination,Apply UAE routing,"Assign UAE team, AED currency, emirate routing, and branch timing.",Coordination Lead,Normal,Not Started,2026-05-12T09:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T01,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Account Management,Account Management,Review client request,"Validate brief completeness, scope, timeline, commercial model, and internal launch readiness.",Campaign Manager,Medium,Not Started,2026-05-11T21:01:16.261Z,-,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0003-T02,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Community,Community,Build influencer list,"Filter creators by market, city, category, tier, language, followers, and blacklists.",Community Lead,Medium,Not Started,2026-05-12T08:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T03,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Community,Community,Collect confirmations,"Send invitations, manage responses, confirm creator availability, and prepare approval list if required.",Community Lead,Medium,Not Started,2026-05-12T08:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T04,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coordination,Coordination,Prepare coordination plan,"Confirm branches, visit windows, creator instructions, client availability, and schedule.",Coordination Lead,Medium,In Progress,2026-05-12T04:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T05,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coverage,Coverage,Prepare coverage tracker,"Create deliverables tracker for stories, reels, posts, TikTok, Snapchat, UGC, proof links, and deadlines.",Coverage Lead,Medium,Not Started,2026-05-13T01:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T06,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,QA,QA,Validate content requirements,"Review campaign guidelines, tags, brand tone, approval logic, and QA checklist.",QA Lead,Medium,Not Started,2026-05-11T23:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T07,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Finance,Finance,Validate commercials,"Confirm budget, currency, compensation model, payment status, and invoice/payment risks.",Finance Lead,Medium,Not Started,2026-05-12T08:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T08,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Management,Management,Monitor campaign risk,"Review SLA exposure, urgency, missing information, and escalation requirements.",Head of Operations,Medium,Not Started,2026-05-11T21:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0003-T09,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coordination,Coordination,Collect delivery information,"Collect creator addresses, contact numbers, dispatch details, and delivery proof.",Coordination Lead,Medium,Done,2026-05-12T04:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Completed
TRYGC-BO-2026-0003-T10,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coverage,Coverage,Track delivery-to-post completion,"Validate product received, content posted, and proof submitted.",Coverage Lead,Medium,Blocked,2026-05-13T01:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Escalated
TRYGC-BO-2026-0003-T11,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Account Management,Account Management,Manage client approval cycle,"Send proposed influencer list, track approval, and confirm final approved creators.",Campaign Manager,Medium,In Progress,2026-05-11T21:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0003-T12,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coverage,Coverage,Prepare reporting structure,"Prepare final report fields: links, screenshots, views, interactions, missing items, and remarks.",Coverage Lead,Medium,Not Started,2026-05-13T01:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0003-T13,TRYGC-BO-2026-0003,FNP,Mother's Day Product Seeding,Kuwait,Coordination,Coordination,Apply Kuwait routing,"Assign Kuwait team, KWD currency, area routing, and approval process.",Coordination Lead,Medium,Not Started,2026-05-12T04:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
